,title,authorids,authors,TL;DR,abstract,pdf,software,preprint,consent,paperhash,existing_preprints,reviewer/Editor_reassignment_request,reviewer/Editor_reassignment_justification,previous_URL,previous_PDF,response_PDF,data
32tW2OOxJ5D,A Meta-framework for Spatiotemporal Quantity Extraction from Text,['aclweb.org/ACL/ARR/2021/September/Paper175/Authors'],['Anonymous'],,"News events are often associated with quantities (e.g., the number of COVID-19 patients or the number of arrests in a protest), and it is often important to extract their type, time, and location from unstructured text in order to analyze these quantity events. This paper thus formulates the NLP problem of spatiotemporal quantity extraction, and proposes the first meta-framework for solving it. This meta-framework contains a formalism that decomposes the problem into several information extraction tasks, a shareable crowdsourcing pipeline, and transformer-based baseline models. We demonstrate the meta-framework in three domains---the COVID-19 pandemic, Black Lives Matter protests, and 2020 California wildfires---to show that the formalism is general and extensible, the crowdsourcing pipeline facilitates fast and high-quality data annotation, and the baseline system can handle spatiotemporal quantity extraction well enough to be practically useful. All resources of this paper will be released for future research on this topic.",/pdf/8d006169e530d98a0f4d5d8c6465874cb0ae93a7.pdf,,,,anonymous|a_metaframework_for_spatiotemporal_quantity_extraction_from_text,,,,,,,
Drjb0jGXtGe,Supervised Relation Classification as Two-way Span-Prediction,['aclweb.org/ACL/ARR/2021/September/Paper268/Authors'],['Anonymous'],,"Most of the current supervised relation classification (RC) algorithms use a single embedding to represent the relation between a pair of entities. We argue that a better approach is to treat the RC task as a Span-Prediction (SP) problem, similar to Question Answering (QA). We present an SP-based system for RC and evaluate its performance compared to the embedding-based system. We demonstrate that by adding a few improvements, the supervised SP objective works significantly better than the standard classification-based objective. We achieve state-of-the-art results on the TACRED, SemEval task 8, and the CRE datasets.",/pdf/c6d43a164f310157e4c22dbc77d5546dbed6ea7d.pdf,,,,anonymous|supervised_relation_classification_as_twoway_spanprediction,,,,,,,
OmJpjgRuSeI,Modeling Future for Neural Machine Translation by Fusing Target Information,['aclweb.org/ACL/ARR/2021/September/Paper194/Authors'],['Anonymous'],,"Sequence-to-sequence Neural Machine Translation (NMT) models have achieved excellent performance. However, the NMT decoder only makes predictions based on the source and the target historical context, ignores the target future information completely, leading to a problem that NMT does not consider potential future information when making decisions. To alleviate this problem, we propose a simple and effective {\bf Fu}ture-fused {\bf NMT} model called \textsc{FuNMT}, which introduces a reverse decoder to explicitly model the target future information, then adopts an agreement mechanism to enable the forward decoder to learn this future information. Empirical studies on multiple benchmarks show that our proposed model significantly improves translation quality.",/pdf/6dd179354590940d55f78ddb01a4e45c365c5354.pdf,/attachment/6389a8780c255447cec6f3845eb6ad2450b8b9b2.zip,,,anonymous|modeling_future_for_neural_machine_translation_by_fusing_target_information,,,,,,,
41SZu4IPi6N,Investigating Logic Tensor Networks for Neural-Symbolic Argument Mining,['aclweb.org/ACL/ARR/2021/September/Paper56/Authors'],['Anonymous'],,"We present an application of neural-symbolic learning to argument mining.
We use Logic Tensor Networks to train neural models to jointly fit the data and satisfy specific domain rules.
Our experiments on a corpus of scientific abstracts indicate that including symbolic rules during the training process improves classification performance, compliance with the rules, and robustness of the results.",/pdf/6f149d88b1f529b6b08eb8cda8573a89e20aa85a.pdf,/attachment/70063085f36ed74df8d787db7f31cbade2a36be5.zip,,,anonymous|investigating_logic_tensor_networks_for_neuralsymbolic_argument_mining,,,,,,,/attachment/83e321a9ece5eb29a10786eaafab9efe1c7e0f58.zip
5S-L8drL0h7,Making Transformers Solve Compositional Tasks,['aclweb.org/ACL/ARR/2021/September/Paper74/Authors'],['Anonymous'],,"Several studies have reported the inability of Transformer models to generalize compositionally, a key type of generalization in many NLP tasks such as semantic parsing. In this paper we explore the design space of Transformer models showing that the inductive biases given to the model by several design decisions significantly impact compositional generalization. We identified Transformer configurations that generalize compositionally significantly better than previously reported in the literature in a diverse set of compositional tasks, and that achieve state-of-the-art results in a semantic parsing compositional generalization benchmark (COGS), and a string edit operation composition benchmark (PCFG).",/pdf/cd7a3c94eb96af341cce098e306fb6d98691e963.pdf,/attachment/f67dc8891e65a0cf3a321e3fa5c1fbf8876ecaf5.zip,,,anonymous|making_transformers_solve_compositional_tasks,,,,,,,
kJob69ydIj-,What Makes Reading Comprehension Questions Difficult? Investigating Variation in Passage Sources and Question Types,['aclweb.org/ACL/ARR/2021/September/Paper272/Authors'],['Anonymous'],,"In order for a natural language understanding benchmark to be useful in research, it has to consist of examples that are diverse and difficult enough to discriminate among current and near-future state-of-the-art systems. However, we do not yet know what kinds of passages and their sources help us collect a variety of challenging examples. In this study, we crowdsource multiple-choice reading comprehension questions for passages taken from seven qualitatively distinct sources, analyzing what attributes of passages contribute to the difficulty and question types of the collected examples. We find that passage source, length, and readability measures do not significantly affect question difficulty. Among seven question types we manually annotate, questions that require numerical reasoning and logical reasoning are relatively difficult but their frequencies depend on the passage sources. These results suggest that when creating a new benchmark dataset, we do not have to use difficult passages but select passage sources carefully so that it has questions that involve linguistic phenomena we are interested in.",/pdf/1b27f67084f13aef79f9d5d7606fed1dc2c77023.pdf,,,,anonymous|what_makes_reading_comprehension_questions_difficult_investigating_variation_in_passage_sources_and_question_types,,,,,,,
DQkcgrmTmbo,,,,,,,,,,,,,,,,,
dTnMpK6jHiv,Measuring Factual Consistency of Abstractive Summaries,['aclweb.org/ACL/ARR/2021/September/Paper44/Authors'],['Anonymous'],,"Recent abstractive summarization systems fail to generate factual consistent -- faithful -- summaries, which heavily limits their practical application. 
Commonly, these models tend to mix concepts from the source or hallucinate new content, completely ignoring the source.
Addressing the faithfulness problem is perhaps the most critical challenge for current abstractive summarization systems.
First automatic faithfulness metrics were proposed, but we argue that existing methods do not yet utilize all ""machinery"" that this field has to offer and introduce new approaches to assess factual correctness.
We evaluate existing and our proposed methods by correlating them with human judgements and find that BERTScore works well.
Next, we conduct a data analysis, which reveals common problems, ways to further improve the metrics and indicates that combining multiple metrics is promising. 
Finally, we exploit faithfulness metrics in pre- and post-processing steps to decrease factual errors made by state-of-the-art summarization systems.
We find that simple techniques like filtering training data and re-ranking generated summaries can increase the faithfulness by a substantial margin.",/pdf/8d3559ab469e0ab44a47f07eb150ecf2b0deb4dc.pdf,,,,anonymous|measuring_factual_consistency_of_abstractive_summaries,,,,,,,
Z0lw-ozMSEe,We need to talk about random seeds,['aclweb.org/ACL/ARR/2021/September/Paper70/Authors'],['Anonymous'],,"Modern neural network libraries all take as a hyperparameter a random seed, typically used to determine the initial state of the model parameters. In this position piece, I argue that there are some appropriate uses for random seeds: as part of the hyperparameter search to select a good model, creating an ensemble of several variants of a model, or measuring the sensitivity of the training algorithm to the random seed hyperparameter. I argue against some inappropriate uses for random seeds: using a fixed random seed for ""replicability"" and creating score distributions for performance comparison. I review 85 recent publications from the ACL Anthology and find that more than 50% are using random seeds inappropriately.",/pdf/c2502c836b4fed6477e37f53a75825666d82ad8b.pdf,,,,anonymous|we_need_to_talk_about_random_seeds,,,,,,,/attachment/015c953c8d8e4df4577ebdbb9b8e84e0ed3bac14.zip
aN3joeJh1LD,,,,,,,,,,,,,,,,,
1eix5Aen_54,Exploring the Effectiveness of Student Behavior in Prerequisite Relation Discovery for Concepts,['aclweb.org/ACL/ARR/2021/September/Paper227/Authors'],['Anonymous'],,"What knowledge should a student grasp before beginning a new MOOC course?  This question can be answered by discovering prerequisite relations of knowledge concepts.  In recent years, researchers have devoted intensive efforts to detecting such relations by analyzing various types of information. However, there are still a few explorations of utilizing student behaviors in this task. In this paper, we investigate the effectiveness of student behaviors in prerequisite relation discovery for course concepts. Specifically, we first construct a novel MOOC dataset to support the study. We then verify the effectiveness of student behaviors via serving as additional features for existing prerequisite relation discovery models. Moreover, we explore to better utilize student behaviors via graph-based modeling. We hope our study could call for more attention and efforts to explore the student behavior for prerequisite relation discovery.",/pdf/907b1da3adeda9c1626d4235089bf403d9776e6d.pdf,/attachment/36a5a7d38022a2cd1fa50a11dcd810c608d30184.zip,,,anonymous|exploring_the_effectiveness_of_student_behavior_in_prerequisite_relation_discovery_for_concepts,,,,,,,/attachment/c623c257d9d4a846bca6f9a0131a248b18751140.zip
wWAtD2N68cW,Comprehension of Subtitles from Re-Translating Simultaneous Speech Translation,['aclweb.org/ACL/ARR/2021/September/Paper24/Authors'],['Anonymous'],,"In simultaneous speech translation, one can vary the size of the output window,
system latency and sometimes the allowed level of rewriting. The effect of these
properties on readability and comprehensibility has not been tested with modern
neural translation systems.
In this work, we propose an evaluation method and investigate the effects on comprehension and user preferences. It is a pilot study with 14 users on 2 hours of German documentaries or speeches with online
translations into Czech. We collect continuous feedback and answers on factual
questions. Our results show that the subtitling layout or flicker have a little
effect on comprehension, in contrast to machine translation itself and
individual competence. Other results show that users with a limited knowledge of
the source language have different preferences to stability and latency than the
users with zero knowledge. The results are statistically insignificant, however, we show that our method works and can be reproduced in larger volume.",/pdf/d6d7ae51f565f17307ddf08c477bd5e37a265edc.pdf,,,,anonymous|comprehension_of_subtitles_from_retranslating_simultaneous_speech_translation,,,,,,,/attachment/830f4231240b02f907133cc35ec9c3cb8b20cc7b.zip
9FHQHJnRtfL,Remixers: A Mixer-Transformer Architecture with Compositional Operators for Natural Language Understanding,['aclweb.org/ACL/ARR/2021/September/Paper30/Authors'],['Anonymous'],,"Recent work such as MLP-Mixers (Tolstikhin et al.) have demonstrated the promise of All-MLP architectures. While All-MLP architectures have demonstrated reasonable performance in computer vision and garnered recent interest, we argue that making them effective in NLP applications is still an uphill battle. Hence, there may be no solid reason to drop the self-attention modules altogether. In this paper, we propose a new Mixer-Transformer architecture, showing that Transformers and Mixer models can be quite complementary indeed. Fundamentally, we show that Mixer models are capable of acting as persistent global memory (in a similar vein to standard MLPs) while being imbued with global receptive fields at the same time. Hence, interleaving sample-dependent and input-local self-attention with persistent Mixer modules can be an effective strategy. Additionally, we propose compositional remixing, a new way of baking compositional operators (multiplicative and subtractive composition) within the mixing process to improve the expressiveness of the model. This allows us to effectively model relationships between unmixed and mixed representations - an inductive bias that we postulate is powerful for NLU applications. Via extensive experiments on 14 challenging NLU datasets (e.g., SuperGLUE, entailment and compositional generalization), we show that the proposed architecture consistently outperforms a strong T5 baseline (Raffel et al.). We believe this work paves the way for more effective synergies between the two families of models.",/pdf/9e6d49be53e470ea56175b70694af4337bd3701f.pdf,,,,anonymous|remixers_a_mixertransformer_architecture_with_compositional_operators_for_natural_language_understanding,,,,,,,
OQBNP-eWeIO,CoDA21: Evaluating Language Understanding Capabilities of NLP Models With Context-Definition Alignment,['aclweb.org/ACL/ARR/2021/September/Paper63/Authors'],['Anonymous'],,"Pretrained language models (PLMs) have achieved superhuman performance on many benchmarks, creating a need for harder tasks. We introduce CoDA21 (Context Definition Alignment), a challenging benchmark that measures natural language understanding (NLU) capabilities of PLMs: Given a definition and a context each for k words, but not the words themselves, the task is to align the k definitions with the k contexts. CoDA21 requires a deep understanding of contexts and definitions, including complex inference and world knowledge. We find that there is a large gap between human and PLM performance, suggesting that CoDA21 measures an aspect of NLU that is not sufficiently covered in existing benchmarks.",/pdf/368ce457a0edee5810590124b02434e2f44acab4.pdf,,,,anonymous|coda21_evaluating_language_understanding_capabilities_of_nlp_models_with_contextdefinition_alignment,,,,,,,
baHiTdWOUgo,Multimodal Audio-textual Architecture for Robust Spoken Language Understanding,['aclweb.org/ACL/ARR/2021/September/Paper202/Authors'],['Anonymous'],,"Tandem spoken language understanding (SLU) systems suffer from the so-called automatic speech recognition (ASR) error propagation problem. Additionally, as the ASR is not optimized to extract semantics, but solely the linguistic content, relevant semantic cues might be left out of its transcripts. In this work, we propose a multimodal language understanding (MLU) architecture to mitigate these problems. Our solution is based on two compact unidirectional long short-term memory (LSTM) models that encode speech and text information. A fusion layer is also used to fuse audio and text embeddings. Two fusion strategies are explored: a simple concatenation of these embeddings and a cross-modal attention mechanism that learns the contribution of each modality. The first approach showed to be the optimal solution to robustly extract semantic information from audio-textual data. We found that attention is less effective at testing time when the text modality is corrupted. Our model is evaluated on three SLU datasets and robustness is tested using ASR outputs from three off-the-shelf ASR engines. Results show that the proposed approach effectively mitigates the ASR error propagation problem for all datasets.",/pdf/d54ff97d9e90cfc5e558545aad6d05da749ac8ea.pdf,,,,anonymous|multimodal_audiotextual_architecture_for_robust_spoken_language_understanding,,,,,,,
3rxgHBM48gw,RelO: An Overlapping Relation Extraction Dataset and Model,['aclweb.org/ACL/ARR/2021/September/Paper314/Authors'],['Anonymous'],,"We introduce an overlapping relation extraction dataset(RelO) constructed from Wikipedia and Wikidata. RelO consists of 308,579 sentences, representing 40 relations and three different overlapping types. We evaluate the state-of-the-art relation extraction methods on RelO and results show that RelO is challenging for these relation extraction methods. We also use RelO as a transfer learning resources and the fine-tuned two models achieve state-of-the-art results on other related datasets. To handle the overlapping relation extraction task, We extend a pipeline framework by utilizing overlapping type information and semantic distance information of relation representations. Through careful experiments, we validate the importance of these information for overlapping relation extraction. All details and resources about the dataset and baselines are released on https://github.com/disquietBookShare/Relo.",/pdf/2ace52263ab7956325aba91412c7315979eab594.pdf,,,,anonymous|relo_an_overlapping_relation_extraction_dataset_and_model,,,,,,,
9kEcqAD-V5u,BART-light: One Decoder Layer Is Enough,['aclweb.org/ACL/ARR/2021/September/Paper233/Authors'],['Anonymous'],,"BART (Lewis et al., 2020), an encoder-decoder transformer language model (LM), has reached state-of-the-art results on several tasks in natural language generation and understanding. Similar to other pretrained encoder-decoder LMs, it uses the same number of hidden layers in the encoder and the decoder. In this paper, we show that one can easily remove all but one or two decoder layers for text generation tasks and even remove the whole decoder for classification tasks, with little to no compromises on performance. Our study presents that a shallow decoder is sufficient for most tasks when a deep encoder is used.",/pdf/77b0e589dd399b7b8df777dd3378f337c81c9e07.pdf,/attachment/09fa86596897af3ab3412e468c9a2526392ab117.zip,,,anonymous|bartlight_one_decoder_layer_is_enough,,,,,,,
NFladHWUfRc,FlipDA: Effective and Robust Data Augmentation for Few-Shot Learning,['aclweb.org/ACL/ARR/2021/September/Paper27/Authors'],['Anonymous'],,"Most previous methods for text data augmentation are limited to simple tasks and weak baselines. We explore data augmentation on hard tasks (i.e., few-shot natural language understanding) and strong baselines (i.e., pretrained models with over one billion parameters). Under this setting, we reproduced a large number of previous augmentation methods and found that these methods bring marginal gains at best and sometimes degrade the performance much. To address this challenge, we propose a novel data augmentation method FlipDA that jointly uses a generative model and a classifier to generate label-flipped data. Central to the idea of FlipDA is the discovery that generating label-flipped data is more crucial to the performance than generating label-preserved data. Experiments show that FlipDA achieves a good tradeoff between effectiveness and robustness---it substantially improves many tasks while not negatively affecting the others.",/pdf/37a483a7f007aaa1b255143bbb5b6436873989fb.pdf,/attachment/b737a0dc1d6ea51c943fa452217ba0b6343778a5.zip,,,anonymous|flipda_effective_and_robust_data_augmentation_for_fewshot_learning,,,,,,,/attachment/9ebf3c7858b9146f299ecec60fd40998f26c5319.zip
dO3Kzeu8KHX,,,,,,,,,,,,,,,,,
GENmh6JWM7j,,,,,,,,,,,,,,,,,
Y5tTolyfhoP,Placing (Historical) Events on a Timeline: A Classification cum Co-ref Resolution Approach,['aclweb.org/ACL/ARR/2021/September/Paper108/Authors'],['Anonymous'],,"The event timeline provides one of the most effective ways to visualize the important historical events that occurred over a period of time, presenting the insights that may not be so apparent from reading the equivalent information in textual form. By leveraging generative adversarial learning for important event classification and by assimilating knowledge based tags for improving the performance of event coreference resolution we introduce a two staged system for event timeline generation from multiple (historical) text documents. In addition, we propose a vis-timeline based visualization technique to portray the event timeline. We demonstrate our results on two very well known historical documents --  the Collected Works of Mahatma Gandhi (CWMG) and the Collected Works of Abraham Lincoln (CWAL). Our results can be extremely helpful for historians, in advancing research in history and in understanding the socio-political landscape of a country as reflected in the writings of political leaders/scholars. Our work has some parallels with timeline summarization (TLS) tasks and therefore we use these as baselines. Rigorous experiments demonstrate that prior event detection which was hitherto absent in the TLS methods} can improve summarization performance.  In order to show that our methods are very generic we reuse our method to visualize the evolution of coronavirus related events in India from a collection of various COVID-19 articles.",/pdf/7b9e8c2d1915cfa5f7c59361fbc7a797748fd848.pdf,,,,anonymous|placing_historical_events_on_a_timeline_a_classification_cum_coref_resolution_approach,,,,,,,/attachment/83fd269de4f65228d98d1e6b59daedfb9d8d2df6.zip
dYg10Kalyc3,Divide and Rule: Effective Pre-Training for Context-Aware Multi-Encoder Translation Models,['aclweb.org/ACL/ARR/2021/September/Paper10/Authors'],['Anonymous'],,"Multi-encoder models are a broad family of context-aware neural machine translation systems that aims to improve translation quality by encoding document-level contextual information alongside the current sentence. The context encoding is undertaken by contextual parameters, trained on document-level data. In this work, we discuss the difficulty of training these parameters effectively, due to the sparsity of the words in need of context (i.e., the training signal), and their relevant context. We propose to pre-train the contextual parameters over split sentence pairs, which makes an efficient use of the available data for two reasons. Firstly, it increases the contextual training signal by breaking intra-sentential syntactic relations, and thus pushing the model to search the context for disambiguating clues more frequently. Secondly, it eases the retrieval of relevant context, since context segments become shorter. We propose four different splitting methods, and evaluate our approach with BLEU and contrastive test sets. Results show that it consistently improves learning of contextual parameters, both in low and high resource settings.",/pdf/fead8f44a64b50f4064136aab16f6af00b1bbdde.pdf,/attachment/9700b748f91ddf41910a3a23d029d07f43d53c8c.zip,,,anonymous|divide_and_rule_effective_pretraining_for_contextaware_multiencoder_translation_models,,,,,,,
idyspdwviWr,A Few-Shot Semantic Parser for Wizard-of-Oz Dialogues with the Precise ThingTalk+ Representation,['aclweb.org/ACL/ARR/2021/September/Paper200/Authors'],['Anonymous'],,"Previous attempts to build effective semantic parsers for Wizard-of-Oz (WOZ) conversations suffer from the difficulty in acquiring a high-quality, manually annotated training set. Approaches based only on dialogue synthesis are insufficient as dialogues generated from state-machine based models are poor approximations of real-life conversations. Furthermore, previously proposed dialogue state representations are ambiguous and lack the precision necessary for building an effective agent.

This paper proposes a new dialogue representation and a sample-efficient methodology that can predict precise dialogue states in WOZ conversations. We propose a precise, complete, and executable dialogue representation called ThingTalk+, which captures all information an agent needs to respond properly. Our training strategy is sample-efficient: we combine (1) few-shot data sparsely sampling the full dialogue space and (2) synthesized data covering a subset space of dialogues generated by a succinct state-based dialogue model. The completeness of the ThingTalk+ language is demonstrated with a fully operational agent, which is also used in training data synthesis. 

We demonstrate the effectiveness of our methodology on MultiWOZ 3.0, a reannotation of the MultiWOZ 2.1 dataset in ThingTalk+. ThingTalk+ can represent 98% of the test turns, while the simulator can emulate 85% of the validation set. We train a contextual semantic parser using our strategy, and obtain 79% turn-by-turn exact match accuracy on the reannotated test set.",/pdf/234445c21012c2e7b19a89d7fc14afc7c29bcebd.pdf,,,,anonymous|a_fewshot_semantic_parser_for_wizardofoz_dialogues_with_the_precise_thingtalk_representation,,,,,,,
IpiYmpJfmcg,Unsupervised Personality-Aware Language Identification,['aclweb.org/ACL/ARR/2021/September/Paper249/Authors'],['Anonymous'],,"Recognizing the language of ambiguous texts remains a main challenge in language identification (LID). When using multilingual applications, users have their own language preferences, which can be regarded as external knowledge for LID. Nevertheless, current studies marginally consider the inter-personal variations due to the lack of user annotated training data. To fill this gap,  we introduce personality-aware LID and propose a novel unsupervised learning strategy. Concretely, we extract training samples for each user from a standard LID corpus according to his/her language preference. Furthermore,  we contribute the first user labeled LID test set called ""U-LID''. Experimental results reveal that the proposed model can incarnate user traits and significantly outperforms existing LID systems on handling ambiguous texts. Our code and dataset will be released upon the acceptance.",/pdf/f4c92e1616ca2a8836b73ddcf406a8ba103cc148.pdf,/attachment/a452b2b510014e561b7063feb30749847fa6f2e6.zip,,,anonymous|unsupervised_personalityaware_language_identification,,,,,,,/attachment/f51b152031a16ab7d1d4c47a1793d293f1d5889a.zip
yf7b7w78xP8,Contrastive Word Embedding Learning for Neural Machine Translation,['aclweb.org/ACL/ARR/2021/September/Paper302/Authors'],['Anonymous'],,"Seq2seq models have shined in the field of Neural Machine Translation (NMT). However, word embeddings learned by NMT models tend to degenerate and be distributed into a narrow cone, named {\em{representation degeneration problem}}, which limits the representation capacity of word embeddings. In this paper, we propose a Contrastive Word Embedding Learning (CWEL) method to address this problem. CWEL combines the ideas of contrastive representation learning with embedding regularization, and adaptively minimizes the cosine similarity of word embeddings on the target side according to their semantic similarity. Experiments on multiple translation benchmark datasets show that CWEL significantly improves translation qualities. Additional analysis shows that the improvements mainly come from the well-learned word embeddings. ",/pdf/78658cb8f16728b8e6a3e759a892fe713896c762.pdf,/attachment/089de3e42b8e84db40cc942c6c715c404ae06ec6.zip,,,anonymous|contrastive_word_embedding_learning_for_neural_machine_translation,,,,,,,
_LrZ6g3zdZy,Context vs Target Word: Quantifying Biases When Applying Models to Lexical Semantic Datasets,['aclweb.org/ACL/ARR/2021/September/Paper71/Authors'],['Anonymous'],,"State-of-the-art contextualized models such as BERT use tasks such as WiC and WSD to evaluate their word-in-context representations. This inherently assumes that performance in these tasks reflect how well a model represents the coupled word and context semantics. This study investigates this assumption by presenting the first quantitative analysis (using probing baselines) on the context-word interaction being tested in major contextual lexical semantic tasks which have dramatically different emphasis. We found that models often exhibit excessive context and target word biases: they solve tasks like WiC as almost purely context classification and rely on target words alone when tackling medical entity linking. In the latter task, where domain reduces ambiguity, context does not improve models and in fact can degrade performance. Our case study on WiC reveals that human subjects do not share models' strong context biases (humans found semantic judgments much more difficult when the target word is missing) and models are learning spurious correlations from context alone. This study demonstrates that models are usually not being tested for word-in-context representations as such in these tasks and results are therefore open to misinterpretation. We recommend our framework as sanity check for context and target word biases of future task design and application in lexical semantics.",/pdf/301faca9e96740dcc794e730520ee1636dcc95f4.pdf,,,,anonymous|context_vs_target_word_quantifying_biases_when_applying_models_to_lexical_semantic_datasets,,,,,,,
dTwZya8uNnS,Extractive Topical Summarization With Aspects,['aclweb.org/ACL/ARR/2021/September/Paper311/Authors'],['Anonymous'],,"Extractive summarization is a task of highlighting the most important parts of the text. We introduce a new approach to extractive summarization task using hidden topical structure and information about aspects of the text. Experimental results on CNN/DailyMail demonstrate that our approach generates more accurate summarizations than baseline methods, achieving state-of-the-art results in terms of ROUGE metric. Additionally, we show that aspect information is extremely important in extractive summarization scenario.",/pdf/6c8a7300f79188e30b8c7f6b6e725846b90b5dc4.pdf,,,,anonymous|extractive_topical_summarization_with_aspects,,,,,,,
Wrtp36cbl61,Scaling Laws vs Model Architectures: How does Inductive Bias Influence Scaling? An Extensive Empirical Study on Language Tasks,['aclweb.org/ACL/ARR/2021/September/Paper77/Authors'],['Anonymous'],,"There have been a lot of interest in the scaling properties of Transformer models. However, not much has been done on the front of investigating the effect of scaling properties of different inductive biases and model architectures. Do model architectures scale differently? If so, how does inductive bias affect scaling behaviour?  How does this influence upstream (pretraining) and downstream (transfer)? This paper conducts a systematic study of scaling behaviour of ten diverse model architectures such as Transformers, Switch Transformers, Universal Transformers, Dynamic convolutions, Performers, and recently proposed MLP-Mixers. Via extensive experiments, we show that (1) architecture is an indeed an important consideration when performing scaling and (2) the best performing model can fluctuate at different scales. We believe that the findings outlined in this work has significant implications to how model architectures are currently evaluated in the community.",/pdf/5290158dc2b8d14986ad7ea2c68bb71d56ddb3fc.pdf,,,,anonymous|scaling_laws_vs_model_architectures_how_does_inductive_bias_influence_scaling_an_extensive_empirical_study_on_language_tasks,,,,,,,
Lc66vCjVidE,Cross-Lingual Event Detection via Optimized Adversarial Training,['aclweb.org/ACL/ARR/2021/September/Paper173/Authors'],['Anonymous'],,"In this work, we focus on Cross-Lingual Event Detection (CLED) where a model is trained on data from a source language but its performance is evaluated on data from a second, target, language. Most recent works in this area have harnessed the language-invariant qualities displayed by pre-trained Multi-lingual Language Models (MLM). Their performance, however, reveals there is room for improvement as they mishandle delicate cross-lingual instances. We leverage the use of unlabeled data to train a Language Discriminator (LD) to discern between the source and target languages. The LD is trained in an adversarial manner so that our encoder learns to produce refined, language-invariant representations that lead to improved CLED performance. More importantly, we optimize the adversarial training by only presenting the LD with the most \textit{informative} samples. We base our intuition about \textit{what} makes a sample informative on two disparate metrics: sample similarity and event presence. Thus, we propose using Optimal Transport (OT) as a solution to naturally combine these two distinct information sources into the selection process. Extensive experiments on 8 different language pairs, using 4 languages from unrelated families, show the flexibility and effectiveness of our model that achieves new state-of-the-art results.",/pdf/4d23754d1e63c4ca8d6e2047d56a674d19bef38d.pdf,,,,anonymous|crosslingual_event_detection_via_optimized_adversarial_training,,,,,,,
dhHpdiUiwrP,"Probing, Generalization and Application of Metaphorical Knowledge in Pre-trained Language Models",['aclweb.org/ACL/ARR/2021/September/Paper284/Authors'],['Anonymous'],,"Human languages are full of metaphorical expressions. Metaphors help people understand the world by connecting new concepts and domains to more familiar ones. Large pre-trained language models (PLMs) are therefore assumed to encode metaphorical knowledge useful for NLP systems when processing language. In this paper, we investigate this hypothesis for PLMs by probing the metaphoricity knowledge in their encodings, by measuring the cross-lingual and cross-dataset generalization of this knowledge, and by analyzing the application of this knowledge when generating metaphorical expressions. We present studies in multiple metaphoricity detection datasets and four languages (i.e., English, Spanish, Russian, and Farsi). Our extensive experiments suggest that contextual representations in PLMs do encode metaphoricity information, and mostly in their middle layers, and the knowledge is transferrable between languages and datasets in most cases. Finally, we show that PLMs face more challenges in generating metaphors, especially as their novelty increases. Our findings give helpful insights for both cognitive and NLP scientists.",/pdf/c6576e91efc9bad89dde8b94762f3cbe96238b3b.pdf,,,,anonymous|probing_generalization_and_application_of_metaphorical_knowledge_in_pretrained_language_models,,,,,,,
iq_Jkbwe-kV,Consistent Crosslingual Data Transfer for Open Information Extraction,['aclweb.org/ACL/ARR/2021/September/Paper269/Authors'],['Anonymous'],,"Progress with supervised Open Information Extraction (OpenIE) has been primarily limited to English due to the scarcity of training data in other languages. In this paper, we explore techniques to automatically convert English text for training OpenIE systems in other languages. We introduce the Alignment Augmented Constrained Translation (AACTrans) model to translate English sentences and their corresponding extractions consistently with each other --- with no changes to vocabulary or semantic meaning which may result from independent translations. Using the data generated with AACTrans, we train a novel two-stage generative OpenIE model, which we call Gen2OIE, that outputs for each sentence: 1) relations in the first stage and 2) all extractions containing the relation in the second stage. Gen2OIE increases relation coverage using a training data transformation technique that is generalizable to multiple languages, in contrast to existing models that use an English-specific training loss. Evaluations on 5 languages --- Spanish, Portuguese, Chinese, Hindi and Telugu --- show that the Gen2OIE with AACTrans data outperforms prior systems by a margin of 6-40% in F1.",/pdf/8b15ac16e6031010f8ef695af27dc76cc29b7780.pdf,/attachment/b44a0a417e69b83000ebb57233c357789ebdbad4.zip,,,anonymous|consistent_crosslingual_data_transfer_for_open_information_extraction,,,,,,,/attachment/92bc647b0eb55dfe760c2e88e3fd0af3d3014029.zip
lTbIVRBq8Ta,An Empirical Study of Document-to-document Neural Machine Translation,['aclweb.org/ACL/ARR/2021/September/Paper52/Authors'],['Anonymous'],,"This paper does not aim at introducing a novel method for document NMT. Instead, we head back to the original transformer model with document-level training and hope to answer the following question: Is the capacity of current models strong enough for document-level NMT? Interestingly, we observe that the original transformer with appropriate training techniques can achieve strong results for document translation, even with a length of 2000 words. We evaluate this model and several recent approaches on nine document-level datasets and two sentence-level datasets across six languages. Experiments show that the original Transformer model outperforms sentence-level models and many previous methods in a comprehensive set of metrics, including BLEU, four lexical indices, three newly proposed assistant linguistic indicators, and human evaluation.",/pdf/3246000e75dbbb6371b3cb64941b734b9c1f9cf1.pdf,,,,anonymous|an_empirical_study_of_documenttodocument_neural_machine_translation,,,,,,,/attachment/501b6feaadb5bd95de54f6bc94980cdfd4f4b7bf.zip
dJ0jXhQ9YHd,,,,,,,,,,,,,,,,,
